V1,V2,V3
-126.4,48.4,-1215.95922851562
-126.383251231527,48.4,-1163.52917480469
-126.366502463054,48.4,-1170.37915039062
-126.349753694581,48.4,-1204.50915527344
-126.333004926108,48.4,-1199.48913574219
-126.316256157635,48.4,-1178.56921386719
-126.299507389163,48.4,-1069.10913085938
-126.28275862069,48.4,-979.559204101562
-126.266009852217,48.4,-961.096740722656
-126.249261083744,48.4,-946.366760253906
-126.232512315271,48.4,-933.306762695312
-126.215763546798,48.4,-827.896789550781
-126.199014778325,48.4,-685.396789550781
-126.182266009852,48.4,-523.576782226562
-126.165517241379,48.4,-412.046752929688
-126.148768472906,48.4,-363.776763916016
-126.132019704434,48.4,-334.940979003906
-126.115270935961,48.4,-312.140991210938
-126.098522167488,48.4,-289.230987548828
-126.081773399015,48.4,-277.651000976562
-126.065024630542,48.4,-272.401000976562
-126.048275862069,48.4,-282.311004638672
-126.031527093596,48.4,-272.850982666016
-126.014778325123,48.4,-270.890991210938
-125.99802955665,48.4,-247.879333496094
-125.981280788177,48.4,-369.149322509766
-125.964532019704,48.4,-434.039337158203
-125.947783251232,48.4,-473.5693359375
-125.931034482759,48.4,-473.869323730469
-125.914285714286,48.4,-286.519348144531
-125.897536945813,48.4,-220.909332275391
-125.88078817734,48.4,-171.13932800293
-125.864039408867,48.4,-157.747650146484
-125.847290640394,48.4,-153.497650146484
-125.830541871921,48.4,-151.967651367188
-125.813793103448,48.4,-152.237655639648
-125.797044334975,48.4,-150.747650146484
-125.780295566502,48.4,-151.057662963867
-125.76354679803,48.4,-152.437652587891
-125.746798029557,48.4,-141.477661132812
-125.730049261084,48.4,-140.022659301758
-125.713300492611,48.4,-144.392654418945
-125.696551724138,48.4,-143.732650756836
-125.679802955665,48.4,-142.002655029297
-125.663054187192,48.4,-140.842651367188
-125.646305418719,48.4,-137.54264831543
-125.629556650246,48.4,-134.642654418945
-125.612807881773,48.4,-132.452651977539
-125.5960591133,48.4,-134.03157043457
-125.579310344828,48.4,-135.241561889648
-125.562561576355,48.4,-135.321563720703
-125.545812807882,48.4,-137.431564331055
-125.529064039409,48.4,-137.931564331055
-125.512315270936,48.4,-136.951568603516
-125.495566502463,48.4,-131.971557617188
-125.47881773399,48.4,-129.111557006836
-125.462068965517,48.4,-129.692977905273
-125.445320197044,48.4,-143.192977905273
-125.428571428571,48.4,-160.402984619141
-125.411822660099,48.4,-178.322982788086
-125.395073891626,48.4,-178.212982177734
-125.378325123153,48.4,-154.282989501953
-125.36157635468,48.4,-126.682983398438
-125.344827586207,48.4,-122.212982177734
-125.328078817734,48.4,-120.740661621094
-125.311330049261,48.4,-120.130661010742
-125.294581280788,48.4,-120.760665893555
-125.277832512315,48.4,-121.300666809082
-125.261083743842,48.4,-124.9306640625
-125.244334975369,48.4,-168.810668945312
-125.227586206897,48.4,-188.040664672852
-125.210837438424,48.4,-178.810668945312
-125.194088669951,48.4,-173.51416015625
-125.177339901478,48.4,-175.224151611328
-125.160591133005,48.4,-147.254150390625
-125.143842364532,48.4,-117.634155273438
-125.127093596059,48.4,-114.83415222168
-125.110344827586,48.4,-113.774154663086
-125.093596059113,48.4,-114.50415802002
-125.07684729064,48.4,-114.934158325195
-125.060098522167,48.4,-113.289779663086
-125.043349753695,48.4,-130.159774780273
-125.026600985222,48.4,-187.139770507812
-125.009852216749,48.4,-276.269775390625
-124.993103448276,48.4,-280.649780273438
-124.976354679803,48.4,-195.089782714844
-124.95960591133,48.4,-178.159774780273
-124.942857142857,48.4,-195.339782714844
-124.926108374384,48.4,-191.297027587891
-124.909359605911,48.4,-192.387023925781
-124.892610837438,48.4,-291.307037353516
-124.875862068966,48.4,-333.487030029297
-124.859113300493,48.4,-303.167022705078
-124.84236453202,48.4,-247.597030639648
-124.825615763547,48.4,-217.897033691406
-124.808866995074,48.4,-179.147033691406
-124.792118226601,48.4,-139.693634033203
-124.775369458128,48.4,-123.193634033203
-124.758620689655,48.4,-89.2036361694336
-124.741871921182,48.4,-35.4236335754395
-124.725123152709,48.4,-17.8136348724365
-124.708374384236,48.4,-1.35363399982452
-124.691625615764,48.4,11.296365737915
-124.674876847291,48.4,21.8363666534424
-124.658128078818,48.4,13.334831237793
-124.641379310345,48.4,-7.84516906738281
-124.624630541872,48.4,-32.6951675415039
-124.607881773399,48.4,-36.6751708984375
-124.591133004926,48.4,-54.7451705932617
-124.574384236453,48.4,-75.7851715087891
-124.55763546798,48.4,-90.8851699829102
-124.540886699507,48.4,-111.845169067383
-124.524137931034,48.4,-127.680870056152
-124.507389162562,48.4,-143.270874023438
-124.490640394089,48.4,-163.820877075195
-124.473891625616,48.4,-187.210876464844
-124.457142857143,48.4,-205.320877075195
-124.44039408867,48.4,-219.300872802734
-124.423645320197,48.4,-228.680877685547
-124.406896551724,48.4,-233.97087097168
-124.390147783251,48.4,-227.00325012207
-124.373399014778,48.4,-214.613250732422
-124.356650246305,48.4,-204.573257446289
-124.339901477833,48.4,-197.013259887695
-124.32315270936,48.4,-194.573257446289
-124.306403940887,48.4,-191.363250732422
-124.289655172414,48.4,-189.043258666992
-124.272906403941,48.4,-188.483245849609
-124.256157635468,48.4,-188.671951293945
-124.239408866995,48.4,-182.381942749023
-124.222660098522,48.4,-173.291946411133
-124.205911330049,48.4,-165.57194519043
-124.189162561576,48.4,-156.311950683594
-124.172413793103,48.4,-147.031951904297
-124.155665024631,48.4,-141.561950683594
-124.138916256158,48.4,-135.361953735352
-124.122167487685,48.4,-125.037254333496
-124.105418719212,48.4,-115.917251586914
-124.088669950739,48.4,-102.60725402832
-124.071921182266,48.4,-83.5372543334961
-124.055172413793,48.4,-59.1772537231445
-124.03842364532,48.4,-47.6872520446777
-124.021674876847,48.4,-33.7272529602051
-124.004926108374,48.4,-24.507251739502
-123.988177339901,48.4,-23.3677234649658
-123.971428571429,48.4,9.71227645874023
-123.954679802956,48.4,11.0522766113281
-123.937931034483,48.4,33.2922782897949
-123.92118226601,48.4,104.142272949219
-123.904433497537,48.4,99.7522735595703
-123.887684729064,48.4,64.2422790527344
